"Month","Local Electoral Area","Age Group","Primary Course Completed (%)","Monthly Percentage Point Change in Primary Course Completed (%)","Booster 1 (%)","Monthly Percentage Point Change in Booster 1 (%)","Booster 2 (%)","Monthly Percentage Point Change in Booster 2 (%)","Booster 3 (%)","Monthly Percentage Point Change in Booster 3 (%)","Booster 4 (%)","Monthly Percentage Point Change in Booster 4 (%)"
"2023 March","Celbridge, Kildare","5 - 11 years","26","0","0","0","","","","","",""
"2023 March","Celbridge, Kildare","12 years and over","97.3","0","65.2","0.1","27.2","0.4","8","0.2","",""
"2023 March","Naas, Kildare","5 - 11 years","25.8","0","0","0","","","","","",""
"2023 March","Naas, Kildare","12 years and over","91.8","0","60.8","0.1","24.8","0.3","7.1","0.2","",""
"2023 March","Athy, Kildare","5 - 11 years","21.1","0","0","0","","","","","",""
"2023 March","Athy, Kildare","12 years and over","91.7","0","58.1","0.3","23.7","0.4","7.7","0.2","",""
"2023 March","Kildare, Kildare","5 - 11 years","23","0","0","0","","","","","",""
"2023 March","Kildare, Kildare","12 years and over","88.7","0","55.1","0.1","20.9","0.3","6.3","0.1","",""
"2023 March","Clane, Kildare","5 - 11 years","25","0","0","0","","","","","",""
"2023 March","Clane, Kildare","12 years and over","91.3","0","57.5","0.2","22.8","0.3","6.8","0.2","",""
"2023 March","Leixlip, Kildare","5 - 11 years","23.5","0","0","0","","","","","",""
"2023 March","Leixlip, Kildare","12 years and over","90.3","0","62.1","0.4","29","0.4","10.7","0.2","",""
"2023 March","Newbridge, Kildare","5 - 11 years","23.2","0","0","0","","","","","",""
"2023 March","Newbridge, Kildare","12 years and over","93.2","0","58.7","0.7","22.4","0.3","6.4","0.1","",""
"2023 March","Castlecomer, Kilkenny","5 - 11 years","24","0","0","0","","","","","",""
"2023 March","Castlecomer, Kilkenny","12 years and over","97.2","0","64.1","0.2","25.5","0.1","8.5","0.1","",""
"2023 March","Kilkenny, Kilkenny","5 - 11 years","21","0","0","0","","","","","",""
"2023 March","Kilkenny, Kilkenny","12 years and over","90.3","0","58.9","0.1","25.6","0.2","8.8","0.2","",""
"2023 March","Piltown, Kilkenny","5 - 11 years","16.3","0","0","0","","","","","",""
"2023 March","Piltown, Kilkenny","12 years and over","90.1","0","58.9","0.1","23.1","0.2","8.3","0.1","",""
"2023 March","Callan-Thomastown, Kilkenny","5 - 11 years","25","0","0","0","","","","","",""
"2023 March","Callan-Thomastown, Kilkenny","12 years and over","96.9","0","65.3","0.2","28.6","0.2","10.3","0.1","",""
"2023 April","Borris-In-Ossory-Mountmellick, Laois","5 - 11 years","18","0","0","0","","","","","",""
"2023 April","Borris-In-Ossory-Mountmellick, Laois","12 years and over","96.4","0","60.5","0","23.1","0","7.7","0","",""
"2023 April","Portlaoise, Laois","5 - 11 years","17.7","0","0","0","","","","","",""
"2023 April","Portlaoise, Laois","12 years and over","85.8","0","51.6","0","20.1","0","6.4","0","",""
"2023 April","Graiguecullen -Portarlington, Laois","5 - 11 years","23","0","0","0","","","","","",""
"2023 April","Graiguecullen -Portarlington, Laois","12 years and over","91.1","0","57.7","0","21.4","0","7","0","",""
"2023 April","Carlow, Carlow","5 - 11 years","16.1","0","0","0","","","","","",""
"2023 April","Carlow, Carlow","12 years and over","85.6","0","52.9","0","21.9","0","7.5","0","",""
"2023 April","Tullow, Carlow","5 - 11 years","22.2","0","0","0","","","","","",""
"2023 April","Tullow, Carlow","12 years and over","89.5","0","57","0","22.5","0","7.3","0","",""
"2023 April","Muinebeag, Carlow","5 - 11 years","23.8","0","0","0","","","","","",""
"2023 April","Muinebeag, Carlow","12 years and over","95.9","0","63","0","25.8","0","9.1","0","",""
"2023 April","Manorhamilton, Leitrim","5 - 11 years","12.8","0","0","0","","","","","",""
"2023 April","Manorhamilton, Leitrim","12 years and over","90.5","0","57.9","0","22.3","0","7.3","0","",""
"2023 April","Ballinamore, Leitrim","5 - 11 years","8.7","0","0","0","","","","","",""
"2023 April","Ballinamore, Leitrim","12 years and over","90.6","0","61","0","20.9","0","6","0","",""
"2023 April","Carrick-On-Shannon, Leitrim","5 - 11 years","23","0","0","0","","","","","",""
"2023 April","Carrick-On-Shannon, Leitrim","12 years and over","85.6","0","60","0","26.6","0","10","0","",""
"2023 April","Newcastle West, Limerick","5 - 11 years","17.8","0","0","0","","","","","",""
"2023 April","Newcastle West, Limerick","12 years and over","93.4","0","62","0","25.3","0","10","0","",""
"2023 April","Adare-Rathkeale, Limerick","5 - 11 years","25","0","0","0","","","","","",""
"2023 April","Adare-Rathkeale, Limerick","12 years and over","97.3","0","66.2","0","28.3","0","10.4","0","",""
"2023 April","Cappamore-Kilmallock, Limerick","5 - 11 years","26","0","0","0","","","","","",""
"2023 April","Cappamore-Kilmallock, Limerick","12 years and over","95.4","0","64.5","0","27.5","0","9.9","0","",""
"2023 April","Limerick City West, Limerick","5 - 11 years","24","0","0","0","","","","","",""
"2023 April","Limerick City West, Limerick","12 years and over","89.7","0","58.6","0","22.6","0","7","0","",""
"2023 April","Limerick City North, Limerick","5 - 11 years","16.7","0","0","0","","","","","",""
"2023 April","Limerick City North, Limerick","12 years and over","91.7","0","58.9","0","26.2","0","9.5","0","",""
"2023 April","Limerick City East, Limerick","5 - 11 years","24","0","0","0","","","","","",""
"2023 April","Limerick City East, Limerick","12 years and over","90","0","60","0","24.5","0","8.6","0","",""
"2023 April","Granard, Longford","5 - 11 years","11","0","0","0","","","","","",""
"2023 April","Granard, Longford","12 years and over","92.5","0","57.6","0","21.8","0","8.5","0","",""
"2023 April","Ballymahon, Longford","5 - 11 years","12.4","0","0","0","","","","","",""
"2023 April","Ballymahon, Longford","12 years and over","76.1","0","47.6","0","17.4","0","5.6","0","",""
"2023 April","Longford, Longford","5 - 11 years","7.9","0","0","0","","","","","",""
"2023 April","Longford, Longford","12 years and over","82.7","0","49.8","0","18.9","0","7.2","0","",""
"2023 April","Dundalk-Carlingford, Louth","5 - 11 years","18.2","0","0","0","","","","","",""
"2023 April","Dundalk-Carlingford, Louth","12 years and over","85","0","55","0","36.8","0","13.9","0","",""
"2023 April","Dundalk South, Louth","5 - 11 years","17","0","0","0","","","","","",""
"2023 April","Dundalk South, Louth","12 years and over","85.5","0","54","0","20.7","0","7.4","0","",""
"2023 April","Ardee, Louth","5 - 11 years","19.5","0","0","0","","","","","",""
"2023 April","Ardee, Louth","12 years and over","91.4","0","57.7","0","22.1","0","7.1","0","",""
"2023 April","Drogheda Rural, Louth","5 - 11 years","21","0","0","0","","","","","",""
"2023 April","Drogheda Rural, Louth","12 years and over","86.2","0","52.7","0","19.5","0","5.8","0","",""
"2023 April","Drogheda Urban, Louth","5 - 11 years","15","0","0","0","","","","","",""
"2023 April","Drogheda Urban, Louth","12 years and over","90","0","57","0","23.3","0","8.1","0","",""
"2023 April","Ballina, Mayo","5 - 11 years","14","0","0","0","","","","","",""
"2023 April","Ballina, Mayo","12 years and over","92.6","0","59.2","0","22.5","0","7.6","0","",""
"2023 April","Claremorris, Mayo","5 - 11 years","14.7","0","0","0","","","","","",""
"2023 April","Claremorris, Mayo","12 years and over","89","0","58.2","0","21.5","0","7.8","0","",""
"2023 April","Castlebar, Mayo","5 - 11 years","15.6","0","0","0","","","","","",""
"2023 April","Castlebar, Mayo","12 years and over","91.9","0","58.9","0","20.2","0","6.6","0","",""
"2023 April","Belmullet, Mayo","5 - 11 years","6","0","0","0","","","","","",""
"2023 April","Belmullet, Mayo","12 years and over","98.1","0","66.5","0","25.7","0","8.6","0","",""
"2023 April","Westport, Mayo","5 - 11 years","14","0","0","0","","","","","",""
"2023 April","Westport, Mayo","12 years and over","88.5","0","57","0","20.9","0","6.9","0","",""
"2023 April","Swinford, Mayo","5 - 11 years","13","0","0","0","","","","","",""
"2023 April","Swinford, Mayo","12 years and over","95.9","0","64","0","26.9","0","9.8","0","",""
"2023 April","Kells, Meath","5 - 11 years","16","0","0","0","","","","","",""
"2023 April","Kells, Meath","12 years and over","92.4","0","57.4","0","23.2","0","7.5","0","",""
"2023 April","Laytown-Bettystown, Meath","5 - 11 years","21.2","0","0","0","","","","","",""
"2023 April","Laytown-Bettystown, Meath","12 years and over","84.4","0","52.7","0","19.8","0","6.1","0","",""
"2023 April","Ashbourne, Meath","5 - 11 years","22","0","0","0","","","","","",""
"2023 April","Ashbourne, Meath","12 years and over","88.3","0","55.9","0","21.7","0","6.8","0","",""
"2023 April","Ratoath, Meath","5 - 11 years","24.3","0","0","0","","","","","",""
"2023 April","Ratoath, Meath","12 years and over","90.9","0","59.1","0","22.7","0","6","0","",""
"2023 April","Trim, Meath","5 - 11 years","23","0","0","0","","","","","",""
"2023 April","Trim, Meath","12 years and over","91.4","0","57.2","0","21.4","0","6.2","0","",""
"2023 April","Navan, Meath","5 - 11 years","15","0","0","0","","","","","",""
"2023 April","Navan, Meath","12 years and over","84.9","0","49.8","0","17.8","0","5","0","",""
"2023 April","Monaghan, Monaghan","5 - 11 years","7.7","0","0","0","","","","","",""
"2023 April","Monaghan, Monaghan","12 years and over","81.8","0","51.4","0","19.1","0","6.6","0","",""
"2023 April","Carrickmacross-Castleblayney, Monaghan","5 - 11 years","13","0","0","0","","","","","",""
"2023 April","Carrickmacross-Castleblayney, Monaghan","12 years and over","89","0","56","0","20.2","0","6.8","0","",""
"2023 April","Ballybay-Clones, Monaghan","5 - 11 years","10.8","0","0","0","","","","","",""
"2023 April","Ballybay-Clones, Monaghan","12 years and over","87.3","0","55.3","0","20.4","0","6.9","0","",""
"2023 April","Birr, Offaly","5 - 11 years","17","0","0","0","","","","","",""
"2023 April","Birr, Offaly","12 years and over","94.5","0","62","0","24.9","0","9.9","0","",""
"2023 April","Tullamore, Offaly","5 - 11 years","19.3","0","0","0","","","","","",""
"2023 April","Tullamore, Offaly","12 years and over","92.7","0","58.5","0","22.1","0","7.3","0","",""
"2023 April","Edenderry, Offaly","5 - 11 years","18.8","0","0","0","","","","","",""
"2023 April","Edenderry, Offaly","12 years and over","92.4","0","57.2","0","19.3","0","6.2","0","",""
"2023 April","Boyle, Roscommon","5 - 11 years","14","0","0","0","","","","","",""
"2023 April","Boyle, Roscommon","12 years and over","89.2","0","57.5","0","23","0","8.5","0","",""
"2023 April","Roscommon, Roscommon","5 - 11 years","17","0","0","0","","","","","",""
"2023 April","Roscommon, Roscommon","12 years and over","91.2","0","59.9","0","23.9","0","9.1","0","",""
"2023 April","Athlone, Roscommon","5 - 11 years","19","0","0","0","","","","","",""
"2023 April","Athlone, Roscommon","12 years and over","90.2","0","70","0","22.8","0","8.2","0","",""
"2023 April","Ballymote-Tobercurry, Sligo","5 - 11 years","18","0","0","0","","","","","",""
"2023 April","Ballymote-Tobercurry, Sligo","12 years and over","93.1","0","59.9","0","22.5","0","7.5","0","",""
"2023 April","Sligo-Drumcliff, Sligo","5 - 11 years","21","0","0","0","","","","","",""
"2023 April","Sligo-Drumcliff, Sligo","12 years and over","94.6","0","63.7","0","27.1","0","9.8","0","",""
"2023 April","Sligo-Strandhill, Sligo","5 - 11 years","14.5","0","0","0","","","","","",""
"2023 April","Sligo-Strandhill, Sligo","12 years and over","88.6","0","56.5","0","23.6","0","8.3","0","",""
"2023 April","Cavan-Belturbet, Cavan","5 - 11 years","13.9","0","0","0","","","","","",""
"2023 April","Cavan-Belturbet, Cavan","12 years and over","83.1","0","53.6","0","18.9","0","6.9","0","",""
"2023 April","Bailieborough-Cootehill, Cavan","5 - 11 years","14","0","0","0","","","","","",""
"2023 April","Bailieborough-Cootehill, Cavan","12 years and over","89.6","0","57.2","0","19.7","0","7","0","",""
"2023 April","Ballyjamesduff, Cavan","5 - 11 years","14","0","0","0","","","","","",""
"2023 April","Ballyjamesduff, Cavan","12 years and over","88.6","0","57.8","0","19.6","0","6.8","0","",""
"2023 April","Nenagh, Tipperary","5 - 11 years","20","0","0","0","","","","","",""
"2023 April","Nenagh, Tipperary","12 years and over","90.6","0","58.5","0","24.4","0","9","0","",""
"2023 April","Roscrea-Templemore, Tipperary","5 - 11 years","19","0","0","0","","","","","",""
"2023 April","Roscrea-Templemore, Tipperary","12 years and over","94.3","0","61","0","24.4","0","9.4","0","",""
"2023 April","Carrick-On-Suir, Tipperary","5 - 11 years","11","0","0","0","","","","","",""
"2023 April","Carrick-On-Suir, Tipperary","12 years and over","95.5","0","66","0","18","0","6.1","0","",""
"2023 April","Clonmel, Tipperary","5 - 11 years","15.5","0","0","0","","","","","",""
"2023 April","Clonmel, Tipperary","12 years and over","94.5","0","62.7","0","26.9","0","9.6","0","",""
"2023 April","Cashel-Tipperary, Tipperary","5 - 11 years","18","0","0","0","","","","","",""
"2023 April","Cashel-Tipperary, Tipperary","12 years and over","91.3","0","58.8","0","24.8","0","9.1","0","",""
"2023 April","Newport, Tipperary","5 - 11 years","29","0","0","0","","","","","",""
"2023 April","Newport, Tipperary","12 years and over","94.4","0","63.8","0","25.4","0","8.5","0","",""
"2023 April","Thurles, Tipperary","5 - 11 years","17","0","0","0","","","","","",""
"2023 April","Thurles, Tipperary","12 years and over","93.4","0","63","0","25","0","9.7","0","",""
"2023 April","Cahir, Tipperary","5 - 11 years","16.3","0","0","0","","","","","",""
"2023 April","Cahir, Tipperary","12 years and over","88.9","0","57","0","24.3","0","9.2","0","",""
"2023 April","Dungarvan, Waterford","5 - 11 years","16","0","0","0","","","","","",""
"2023 April","Dungarvan, Waterford","12 years and over","91.2","0","64","0","35.4","0","12.9","0","",""
"2023 April","Portlaw-Kilmacthomas, Waterford","5 - 11 years","20.1","0","0","0","","","","","",""
"2023 April","Portlaw-Kilmacthomas, Waterford","12 years and over","93.8","0","61.6","0","25.3","0","8.8","0","",""
"2023 April","Lismore, Waterford","5 - 11 years","19.4","0","0","0","","","","","",""
"2023 April","Lismore, Waterford","12 years and over","94.5","0","65","0","27.1","0","9.8","0","",""
"2023 April","Tramore-Waterford City West, Waterford","5 - 11 years","16","0","0","0","","","","","",""
"2023 April","Tramore-Waterford City West, Waterford","12 years and over","90.7","0","61","0","25.4","0","8.5","0","",""
"2023 April","Waterford City South, Waterford","5 - 11 years","12","0","0","0","","","","","",""
"2023 April","Waterford City South, Waterford","12 years and over","85.1","0","55","0","21.2","0","7.3","0","",""
"2023 April","Waterford City East, Waterford","5 - 11 years","25.4","0","0","0","","","","","",""
"2023 April","Waterford City East, Waterford","12 years and over","93.4","0","65","0","29.5","0","10.5","0","",""
"2023 April","Athlone, Westmeath","5 - 11 years","16.9","0","0","0","","","","","",""
"2023 April","Athlone, Westmeath","12 years and over","93.2","0","57","0","22.1","0","7.3","0","",""
"2023 April","Moate, Westmeath","5 - 11 years","17.8","0","0","0","","","","","",""
"2023 April","Moate, Westmeath","12 years and over","92.8","0","60","0","22.8","0","7.6","0","",""
"2023 April","Kinnegad, Westmeath","5 - 11 years","16","0","0","0","","","","","",""
"2023 April","Kinnegad, Westmeath","12 years and over","92.3","0","56.5","0","21.1","0","6.4","0","",""
"2023 April","Mullingar, Westmeath","5 - 11 years","16","0","0","0","","","","","",""
"2023 April","Mullingar, Westmeath","12 years and over","86","0","53.2","0","20.6","0","6.8","0","",""
"2023 April","Gorey, Wexford","5 - 11 years","20.7","0","0","0","","","","","",""
"2023 April","Gorey, Wexford","12 years and over","87.5","0","56.5","0","23.8","0","8.5","0","",""
"2023 April","Kilmuckridge, Wexford","5 - 11 years","25","0","0","0","","","","","",""
"2023 April","Kilmuckridge, Wexford","12 years and over","94.5","0","62.8","0","25.9","0","8.4","0","",""
"2023 April","New Ross, Wexford","5 - 11 years","18.4","0","0","0","","","","","",""
"2023 April","New Ross, Wexford","12 years and over","90.1","0","57.8","0","24.1","0","9.3","0","",""
"2023 April","Rosslare, Wexford","5 - 11 years","19.8","0","0","0","","","","","",""
"2023 April","Rosslare, Wexford","12 years and over","95.4","0","64","0","27.9","0","10.8","0","",""
"2023 April","Wexford, Wexford","5 - 11 years","19.8","0","0","0","","","","","",""
"2023 April","Wexford, Wexford","12 years and over","92.5","0","64","0","27","0","10.1","0","",""
"2023 April","Enniscorthy, Wexford","5 - 11 years","20","0","0","0","","","","","",""
"2023 April","Enniscorthy, Wexford","12 years and over","91.5","0","59.4","0","25","0","8.5","0","",""
"2023 April","Baltinglass, Wicklow","5 - 11 years","17.8","0","0","0","","","","","",""
"2023 April","Baltinglass, Wicklow","12 years and over","91.9","0","59.8","0","24.8","0","8.2","0","",""
"2023 April","Bray West, Wicklow","5 - 11 years","27.9","0","0","0","","","","","",""
"2023 April","Bray West, Wicklow","12 years and over","95.1","0","64.8","0","30.6","0","9.3","0","",""
"2023 April","Greystones, Wicklow","5 - 11 years","38","0","0","0","","","","","",""
"2023 April","Greystones, Wicklow","12 years and over","92.9","0","64.5","0","30.7","0","9.8","0","",""
"2023 April","Wicklow, Wicklow","5 - 11 years","24.6","0","0","0","","","","","",""
"2023 April","Wicklow, Wicklow","12 years and over","91.3","0","61.1","0","26.9","0","9","0","",""
"2023 April","Arklow, Wicklow","5 - 11 years","18.9","0","0","0","","","","","",""
"2023 April","Arklow, Wicklow","12 years and over","92","0","59","0","23.5","0","6.5","0","",""
"2023 April","Bray East, Wicklow","5 - 11 years","26.5","0","0","0","","","","","",""
"2023 April","Bray East, Wicklow","12 years and over","96.9","0","66.6","0","33.4","0","12.9","0","",""
"2023 April","Rush-Lusk, Fingal","5 - 11 years","24","0","0","0","","","","","",""
"2023 April","Rush-Lusk, Fingal","12 years and over","87.6","0","56.8","0","22.6","0","6.1","0","",""
"2023 April","Swords, Fingal","5 - 11 years","21","0","0","0","","","","","",""
"2023 April","Swords, Fingal","12 years and over","85.4","0","53.6","0","21","0","5.8","0","",""
"2023 April","Blanchardstown-Mulhuddart, Fingal","5 - 11 years","16.7","0","0","0","","","","","",""
"2023 April","Blanchardstown-Mulhuddart, Fingal","12 years and over","69.2","0","37.5","0","10.9","0","2.2","0","",""
"2023 April","Castleknock, Fingal","5 - 11 years","26","0","0","0","","","","","",""
"2023 April","Castleknock, Fingal","12 years and over","88.9","0","58.5","0","25.9","0","8.3","0","",""
"2023 April","Howth-Malahide, Fingal","5 - 11 years","31","0","0","0","","","","","",""
"2023 April","Howth-Malahide, Fingal","12 years and over","93.3","0","65.8","0","33.5","0","12.6","0","",""
"2023 April","Stillorgan, Dún Laoghaire-Rathdown","5 - 11 years","55.5","0","0","0","","","","","",""
"2023 April","Stillorgan, Dún Laoghaire-Rathdown","12 years and over","89.8","0","69","0","36.6","0","13.5","0","",""
"2023 April","Dundrum, Dún Laoghaire-Rathdown","5 - 11 years","17.3","0","0","0","","","","","",""
"2023 April","Dundrum, Dún Laoghaire-Rathdown","12 years and over","98","0","71","0","24.7","0","9.1","0","",""
"2023 April","Glencullen-Sandyford, Dún Laoghaire-Rathdown","5 - 11 years","47","0","0","0","","","","","",""
"2023 April","Glencullen-Sandyford, Dún Laoghaire-Rathdown","12 years and over","88.2","0","60.7","0","24.8","0","6.9","0","",""
"2023 April","Killiney-Shankill, Dún Laoghaire-Rathdown","5 - 11 years","38","0","0","0","","","","","",""
"2023 April","Killiney-Shankill, Dún Laoghaire-Rathdown","12 years and over","96.8","0","69","0","33.7","0","11.9","0","",""
"2023 April","Dún Laoghaire, Dún Laoghaire-Rathdown","5 - 11 years","23","0","0","0","","","","","",""
"2023 April","Dún Laoghaire, Dún Laoghaire-Rathdown","12 years and over","96","0","70","0","20.5","0","6.8","0","",""
"2023 April","Blackrock, Dún Laoghaire-Rathdown","5 - 11 years","47","0","0","0","","","","","",""
"2023 April","Blackrock, Dún Laoghaire-Rathdown","12 years and over","97.7","0","74.3","0","39.1","0","13.5","0","",""
"2023 April","Lucan, South Dublin","5 - 11 years","28","0","0","0","","","","","",""
"2023 April","Lucan, South Dublin","12 years and over","84.7","0","55.3","0","20.7","0","5.9","0","",""
"2023 April","Tallaght Central, South Dublin","5 - 11 years","14.3","0","0","0","","","","","",""
"2023 April","Tallaght Central, South Dublin","12 years and over","88.3","0","58.8","0","27.1","0","10.8","0","",""
"2023 April","Rathfarnham-Templeogue, South Dublin","5 - 11 years","38.6","0","0","0","","","","","",""
"2023 April","Rathfarnham-Templeogue, South Dublin","12 years and over","98.3","0","75.2","0","40.5","0","15.9","0","",""
"2023 April","Firhouse-Bohernabreena, South Dublin","5 - 11 years","30.6","0","0","0","","","","","",""
"2023 April","Firhouse-Bohernabreena, South Dublin","12 years and over","92.6","0","62.7","0","26.5","0","7.8","0","",""
"2023 April","Tallaght South, South Dublin","5 - 11 years","14.8","0","0","0","","","","","",""
"2023 April","Tallaght South, South Dublin","12 years and over","75.3","0","41.4","0","12.1","0","2.8","0","",""
"2023 April","Clondalkin, South Dublin","5 - 11 years","16.9","0","0","0","","","","","",""
"2023 April","Clondalkin, South Dublin","12 years and over","80","0","51.4","0","20.5","0","6.6","0","",""
"2023 April","Balbriggan, Fingal","5 - 11 years","22","0","0","0","","","","","",""
"2023 April","Balbriggan, Fingal","12 years and over","85.4","0","53.6","0","22.3","0","7.1","0","",""
"2023 April","Ongar, Fingal","5 - 11 years","21","0","0","0","","","","","",""
"2023 April","Ongar, Fingal","12 years and over","77.3","0","44.8","0","14.5","0","3","0","",""
"2023 April","Palmerstown-Fonthill, South Dublin","5 - 11 years","14","0","0","0","","","","","",""
"2023 April","Palmerstown-Fonthill, South Dublin","12 years and over","82.7","0","50.7","0","18.3","0","5","0","",""
"2023 April","Ballymun-Finglas, Dublin City","5 - 11 years","16","0","0","0","","","","","",""
"2023 April","Ballymun-Finglas, Dublin City","12 years and over","83","0","51.1","0","22.4","0","7.7","0","",""
"2023 April","Cabra-Glasnevin, Dublin City","5 - 11 years","23.5","0","0","0","","","","","",""
"2023 April","Cabra-Glasnevin, Dublin City","12 years and over","89.8","0","61","0","27","0","7.9","0","",""
"2023 April","Ballyfermot-Drimnagh, Dublin City","5 - 11 years","14","0","0","0","","","","","",""
"2023 April","Ballyfermot-Drimnagh, Dublin City","12 years and over","84.2","0","54.3","0","23","0","7.8","0","",""
"2023 April","Kimmage-Rathmines, Dublin City","5 - 11 years","29.9","0","0","0","","","","","",""
"2023 April","Kimmage-Rathmines, Dublin City","12 years and over","92.6","0","64.6","0","29.6","0","9.3","0","",""
"2023 April","Pembroke, Dublin City","5 - 11 years","37.7","0","0","0","","","","","",""
"2023 April","Pembroke, Dublin City","12 years and over","90.4","0","66.4","0","30.7","0","9.9","0","",""
"2023 April","South East Inner City, Dublin City","5 - 11 years","11.6","0","0","0","","","","","",""
"2023 April","South East Inner City, Dublin City","12 years and over","75.3","0","50","0","17.6","0","4.5","0","",""
"2023 April","North Inner City, Dublin City","5 - 11 years","8","0","0","0","","","","","",""
"2023 April","North Inner City, Dublin City","12 years and over","74.8","0","45.1","0","14.2","0","3.1","0","",""
"2023 April","Clontarf, Dublin City","5 - 11 years","40.7","0","0","0","","","","","",""
"2023 April","Clontarf, Dublin City","12 years and over","94.1","0","68.9","0","34.9","0","12","0","",""
"2023 April","Donaghmede, Dublin City","5 - 11 years","28.1","0","0","0","","","","","",""
"2023 April","Donaghmede, Dublin City","12 years and over","87.1","0","60","0","26.2","0","9.4","0","",""
"2023 April","Artane-Whitehall, Dublin City","5 - 11 years","19.9","0","0","0","","","","","",""
"2023 April","Artane-Whitehall, Dublin City","12 years and over","88.9","0","58.7","0","26.9","0","9.8","0","",""
"2023 April","South West Inner City, Dublin City","5 - 11 years","12","0","0","0","","","","","",""
"2023 April","South West Inner City, Dublin City","12 years and over","75.1","0","47.5","0","16.6","0","3.8","0","",""
"2023 April","Ennistimon, Clare","5 - 11 years","13","0","0","0","","","","","",""
"2023 April","Ennistimon, Clare","12 years and over","90.3","0","60.4","0","26.3","0","10.1","0","",""
"2023 April","Killaloe, Clare","5 - 11 years","22","0","0","0","","","","","",""
"2023 April","Killaloe, Clare","12 years and over","91","0","59.2","0","23.5","0","7.7","0","",""
"2023 April","Shannon, Clare","5 - 11 years","21","0","0","0","","","","","",""
"2023 April","Shannon, Clare","12 years and over","90","0","58.6","0","24.3","0","8.6","0","",""
"2023 April","Ennis, Clare","5 - 11 years","20.6","0","0","0","","","","","",""
"2023 April","Ennis, Clare","12 years and over","91.1","0","59.6","0","24.9","0","8","0","",""
"2023 April","Kilrush, Clare","5 - 11 years","13","0","0","0","","","","","",""
"2023 April","Kilrush, Clare","12 years and over","95.5","0","62.5","0","26","0","9.3","0","",""
"2023 April","Kanturk, Cork County","5 - 11 years","18","0","0","0","","","","","",""
"2023 April","Kanturk, Cork County","12 years and over","94.9","0","63.6","0","27.9","0","10.4","0","",""
"2023 April","Fermoy, Cork County","5 - 11 years","23.7","0","0","0","","","","","",""
"2023 April","Fermoy, Cork County","12 years and over","92","0","62","0","25.1","0","8.1","0","",""
"2023 April","Midleton, Cork County","5 - 11 years","24.5","0","0","0","","","","","",""
"2023 April","Midleton, Cork County","12 years and over","88.9","0","59.3","0","25.2","0","7.7","0","",""
"2023 April","Carrigaline, Cork County","5 - 11 years","33","0","0","0","","","","","",""
"2023 April","Carrigaline, Cork County","12 years and over","94.4","0","65.1","0","27.7","0","8.6","0","",""
"2023 April","Cobh, Cork County","5 - 11 years","30.3","0","0","0","","","","","",""
"2023 April","Cobh, Cork County","12 years and over","93.1","0","61.7","0","25.3","0","7.9","0","",""
"2023 April","Bandon-Kinsale, Cork County","5 - 11 years","29.3","0","0","0","","","","","",""
"2023 April","Bandon-Kinsale, Cork County","12 years and over","91.3","0","62.3","0","26.4","0","8.3","0","",""
"2023 April","Bantry-West Cork, Cork County","5 - 11 years","13.7","0","0","0","","","","","",""
"2023 April","Bantry-West Cork, Cork County","12 years and over","93.8","0","64.1","0","26.5","0","9.8","0","",""
"2023 April","Skibbereen-West Cork, Cork County","5 - 11 years","22","0","0","0","","","","","",""
"2023 April","Skibbereen-West Cork, Cork County","12 years and over","90.8","0","62","0","24.4","0","8.4","0","",""
"2023 April","Macroom, Cork County","5 - 11 years","31","0","0","0","","","","","",""
"2023 April","Macroom, Cork County","12 years and over","93.8","0","63.5","0","25.4","0","8.3","0","",""
"2023 April","Mallow, Cork County","5 - 11 years","24","0","0","0","","","","","",""
"2023 April","Mallow, Cork County","12 years and over","92.3","0","61.1","0","24.5","0","7.9","0","",""
"2023 April","Cork City North West, Cork City","5 - 11 years","15.1","0","0","0","","","","","",""
"2023 April","Cork City North West, Cork City","12 years and over","94.4","0","59.3","0","24.5","0","8.2","0","",""
"2023 April","Cork City North East, Cork City","5 - 11 years","17.5","0","0","0","","","","","",""
"2023 April","Cork City North East, Cork City","12 years and over","92.2","0","59.6","0","25","0","7.8","0","",""
"2023 April","Cork City South East, Cork City","5 - 11 years","29","0","0","0","","","","","",""
"2023 April","Cork City South East, Cork City","12 years and over","96.4","0","68.1","0","31.3","0","10.2","0","",""
"2023 April","Cork City South Central, Cork City","5 - 11 years","15.2","0","0","0","","","","","",""
"2023 April","Cork City South Central, Cork City","12 years and over","91.7","0","61.3","0","25.2","0","7.7","0","",""
"2023 April","Cork City South West, Cork City","5 - 11 years","24.9","0","0","0","","","","","",""
"2023 April","Cork City South West, Cork City","12 years and over","88.5","0","61.2","0","28.2","0","9.8","0","",""
"2023 April","Glenties, Donegal","5 - 11 years","9","0","0","0","","","","","",""
"2023 April","Glenties, Donegal","12 years and over","94.1","0","61.6","0","24.8","0","8.7","0","",""
"2023 April","Milford, Donegal","5 - 11 years","9.4","0","0","0","","","","","",""
"2023 April","Milford, Donegal","12 years and over","89.5","0","55.1","0","19.8","0","7.3","0","",""
"2023 April","Carndonagh, Donegal","5 - 11 years","4.6","0","0","0","","","","","",""
"2023 April","Carndonagh, Donegal","12 years and over","74.5","0","43.9","0","16.5","0","6.2","0","",""
"2023 April","Buncrana, Donegal","5 - 11 years","4","0","0","0","","","","","",""
