"Month","Local Electoral Area","Age Group","Primary Course Completed (%)","Monthly Percentage Point Change in Primary Course Completed (%)","Booster 1 (%)","Monthly Percentage Point Change in Booster 1 (%)","Booster 2 (%)","Monthly Percentage Point Change in Booster 2 (%)","Booster 3 (%)","Monthly Percentage Point Change in Booster 3 (%)","Booster 4 (%)","Monthly Percentage Point Change in Booster 4 (%)"
"2021 January","Ballyfermot-Drimnagh, Dublin City","12 years and over","2","1.5","","","","","","","",""
"2021 January","Kimmage-Rathmines, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 January","Kimmage-Rathmines, Dublin City","12 years and over","2.9","1.9","","","","","","","",""
"2021 January","Pembroke, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 January","Pembroke, Dublin City","12 years and over","3.8","2.4","","","","","","","",""
"2021 January","South East Inner City, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 January","South East Inner City, Dublin City","12 years and over","2.4","1.2","","","","","","","",""
"2021 January","North Inner City, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 January","North Inner City, Dublin City","12 years and over","1.9","0.9","","","","","","","",""
"2021 January","Clontarf, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 January","Clontarf, Dublin City","12 years and over","2","1.5","","","","","","","",""
"2021 January","Donaghmede, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 January","Donaghmede, Dublin City","12 years and over","1.3","1","","","","","","","",""
"2021 January","Artane-Whitehall, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 January","Artane-Whitehall, Dublin City","12 years and over","2.1","1.7","","","","","","","",""
"2021 January","South West Inner City, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 January","South West Inner City, Dublin City","12 years and over","3.4","2.1","","","","","","","",""
"2021 January","Ennistimon, Clare","5 - 11 years","","","","","","","","","",""
"2021 January","Ennistimon, Clare","12 years and over","2.6","0.5","","","","","","","",""
"2021 January","Killaloe, Clare","5 - 11 years","","","","","","","","","",""
"2021 January","Killaloe, Clare","12 years and over","2.7","0.7","","","","","","","",""
"2021 January","Shannon, Clare","5 - 11 years","","","","","","","","","",""
