GP_Name,GP_Address,GP_LocationText,GP_LocationLink,latitude,longitude,latitude,longitude
Athboy Family Practice,"Main Street, Athboy, Meath, C15  E330",Location And Directions - Google Maps,Https://Maps.google.com/?Q=C15 E330,NA,NA,53.6223229,-6.9199346
Athenry Surgery,"Raheen, Athenry, Galway, H65  Kh93",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Zf6z9by7qwcmwkdi6,NA,NA,53.29966599999999,-8.7554483
Ath Transna Medical Centre,"West End, Newmarket, Cork, P51  W2py",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P51 W2py,NA,NA,52.21301339999999,-9.001477900000001
Athy Lodge Medical,"Carlow Road, Athy, Kildare, R14  X672",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R14 X672,NA,NA,52.985876,-6.9794471
Atlantic Medical,"16 College Street, Cavan Town, Cavan, H12  F439",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H12 F439,NA,NA,53.9889547,-7.3627863
Atlantic Medical Centre,"Cq Centre, Kevin Barry Street, Ballina, Mayo, F26  Dk76",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F26 Dk76,NA,NA,54.1112636,-9.1595815
Atlantic Medical Practice,"43/45 Father Griffin Road, Lower Salthill, Salthill, Galway, H91  X4a6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 X4a6,NA,NA,53.2667776,-9.0643045
Atrium Family Practice,"The Atrium, John's Lane, Naas, Kildare, W91  Y754",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W91 Y754,NA,NA,53.2188287,-6.661311899999999
Aughnacliffe Medical Centre,"Aughnacliffe, Longford, Longford, N39  Yy30",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N39 Yy30,NA,NA,53.8461315,-7.6044936
Aughrim Health Centre,"Main Street, Aughrim Lower, Aughrim, Wicklow, Y14  Yn70",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Yamc7iryxt72parl7,NA,NA,52.8560089,-6.3248243
Aungier Street Clinic,"14-16 Redmond's Hill, Aungier Street, Dublin, D02  Rp46",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D02 Rp46,NA,NA,53.3380291,-6.2662264
Avonlea Medical Centre,"Boreenmanna Road, Cork, Cork, T12  F2dr",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 F2dr,NA,NA,51.8912877,-8.4477099
Aylesbury Clinic,"Aylesbury Shopping Centre, Tallaght, Dublin, D24  Ptk3",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D24 Ptk3,NA,NA,53.27597979999999,-6.367181
Ayrfield Medical Practice,"Granges Road, Ayrefield, Kildare, R95  P2ef",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Xe7jhuv6wg1odth8a,NA,NA,52.6653373,-7.2690971
Baggot Street Medical,"10 Baggot Street Upper, Dublin, D04  Kt35",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 Kt35,NA,NA,53.3338706,-6.244589
Balbriggan Medical Centre,"Fingal House, Drogheda Street, Balbriggan, Dublin, K32  Ed88",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K32 Ed88,NA,NA,53.613172,-6.1889035
