GP_Name,GP_Address,GP_LocationText,GP_LocationLink
Aughnacliffe Medical Centre,"Aughnacliffe, Longford, Longford, N39  Yy30",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N39 Yy30
Aughrim Health Centre,"Main Street, Aughrim Lower, Aughrim, Wicklow, Y14  Yn70",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Yamc7iryxt72parl7
Aungier Street Clinic,"14-16 Redmond's Hill, Aungier Street, Dublin, D02  Rp46",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D02 Rp46
Avonlea Medical Centre,"Boreenmanna Road, Cork, Cork, T12  F2dr",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 F2dr
Aylesbury Clinic,"Aylesbury Shopping Centre, Tallaght, Dublin, D24  Ptk3",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D24 Ptk3
Ayrfield Medical Practice,"Granges Road, Ayrefield, Kildare, R95  P2ef",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Xe7jhuv6wg1odth8a
Baggot Street Medical,"10 Baggot Street Upper, Dublin, D04  Kt35",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 Kt35
Balbriggan Medical Centre,"Fingal House, Drogheda Street, Balbriggan, Dublin, K32  Ed88",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K32 Ed88
Baldoyle Medical Clinic,"Racecourse Shopping Centre, Grange Road, Baldoyle, Dublin, D13  N6w7",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D13 N6w7
Ballagh House Surgery,"Ballagh House, Boynehill, Navan, Meath, C15  Hk27",Location And Directions - Google Maps,Https://Maps.google.com/?Q=C15 Hk27
Balla Medical Centre,"Balla, Mayo, F23  Cv61",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F23 Cv61
Ballina Medical Centre,"Kevin Barry Street, Ballina, Mayo, F26  P6p1",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Ncvc9vqpwh9ext1k9
Ballinamore Surgery,"7/8 Railway Road, Ballinamore, Leitrim, N41  Ef60",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N41 Ef60
Ballingarry Health Centre,"Ballingarry Upper, Thurles, Tipperary, E41  D589",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E41 D589
Ballinteer Health General & Family Pratice,"21 Woodpark, Ballinteer Avenue, Ballinteer, Dublin, D16  Ht65",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D16 Ht65
Ballinteer Medical,"Unit 1, Ballinteer Business Centre, Ballinteer Avenue, Dublin, D16  X0h2",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D16 X0h2
Ballsbridge Medical Centre,"66 Merrion Road, Dublin, D04  N1w5",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 N1w5
Ballyboden Medical,"Unit 1 Ballyboden Shopping Centre, Taylor's Lan, Rathfarnham, Dublin, D16  Rk74",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D16 Rk74
Ballybrack Medical Centre,"4a Church Road, Ballybrack, Glenageary, Dublin, A96  Ct85",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A96 Ct85
Ballycane Surgery,"Hazelmere Shopping Centre, Hazelmere, Naas, Kildare, W91  Aw7d",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W91 Aw7d
Ballyconnell Medical,"Health Care Unit, Ballyconnell, Cavan, H14  Cd52",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H14 Cd52
Ballycotton Medical Centre,"Monagurra, Shanagarry, Cork, P25  Pf96",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P25 Pf96
Ballycullen Medical Centre,"Oldcourt Shopping Centre, Parklands Road, Castleknock, Dublin, D24  Dy0h",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D24 Dy0h
Ballyduff Gp Practice,"Main Street, Ballyduff Upper, Waterford, P51  E0kr",Location And Directions - Google Maps,Https://Maps.app.goo.gl/5jyxt5rzglgxntau7
Ballyduff Medical Centre,"Main Street, Ballyduff, Kerry, V92  Tr66",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 Tr66
Ballyfermot Family Practice,"Ballyfermot Road, Ballyfermot, Dublin, D10  Ck40",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D10 Ck40
Ballygar Health Centre,"High Street, Ballygar, Galway, F42  F759",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Oglwe9kgm1typkaj6
Ballyhale Health Centre,"Vicars Lane, Ballyhale, Kilkenny, R95  X0vx",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Oe32miko9tudk5er9
Ballyhaunis Medical Centre,"Clare Street, Ballyhaunis, Mayo, F35  R127",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F35 R127
Ballymahon Medical Centre,"Main Street, Ballymahon, Longford, N39  Ax88",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N39 Ax88
Ballymodan Family Practice,"3 Ballymodan Place, Bandon, Cork, P72  Rx61",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P72 Rx61
Ballymote Family Practice,"Earlsfield, Ballymote, Sligo, F56  Pk88",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Hlfw6iy6hhuql4mw6
Ballymun Family Practice - Ground Floor,"Main Street, Ballymun, Dublin, D09  C8p5",Location And Directions - Google Maps,Https://Maps.app.goo.gl/L9blza2x1u3t9vg8a
Ballymun Gp,"Main Street, Ballymun, Dublin, D09  C8p5",Location And Directions - Google Maps,Https://Maps.app.goo.gl/L9blza2x1u3t9vg8a
Ballyowen Lane Medical Centric Health,"Ballyowen Castle Centre, Ballyowen Lane, Lucan Dublin, Dublin, K78  X6v9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K78 X6v9
Ballyporeen Health Centre,"Church Street, Ballyporeen, Tipperary, E21  X735",Location And Directions - Google Maps,Https://Maps.app.goo.gl/U7ioyi7mtkkvlgn56
Ballyragget Medical Centre,"Chapel Avenue, Ballyragget, Kilkenny, R95  W3wa",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R95 W3wa
Ballyraine Park Health Centre,"Ballyraine, Letterkenny, Donegal, F92  V9v0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F92 V9v0
Ballyraine Road Surgery,"Inverarie, Ballyraine Road, Letterkenny, Donegal, F92  Tyf1",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F92 Tyf1
Ballyvaughan Medical Centre,"Ballyvaughan Enterprise Centre, Ballyvaughan, Clare, H91  W8wh",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 W8wh
Ballyvourney Health Centre,"Pairc An Dochtuir, Ballybvourney, Cork, P12  A504",Location And Directions - Google Maps,Https://Maps.app.goo.gl/8qtzerd5z8nqkxfy9
Baltic Medical Clinic,"6 Meat Market Lane, Drogheda, Louth, A92  Xkr8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A92 Xkr8
Banada Surgery,"Banada Primary Care Centre, Banada, Tourlestrane, Sligo, F91  Fp77",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F91 Fp77
Banagher Health Centre,"Kylebeg Or, Banagher, Offaly, R42  Xw40",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Fvkbz7htxcwqczfz6
